phase,model,start,step,loss,train_acc,cv_acc,l2,theta_std,theta_absmax,elapsed,is_best
spsa,lightweight,40,1,0.54892354,0.74652778,0.74218750,0.005,0.53101037,1.12293052,1181.627,0
spsa,lightweight,40,2,0.55206081,0.74074074,0.75390625,0.005,0.53039613,1.13685963,1190.485,0
spsa,lightweight,40,3,0.56379102,0.73032407,0.75781250,0.01,0.51531727,1.07825475,1198.930,1
candidate,lightweight,41,0,0.53503576,0.74768519,0.74609375,0.005,0.42359846,0.76476073,1205.139,0
spsa,lightweight,41,1,0.55346610,0.73495370,0.75000000,0.02,0.41204245,0.73314526,1214.135,0
spsa,lightweight,41,2,0.55318113,0.73726852,0.74609375,0.02,0.41186420,0.74094444,1223.327,0
spsa,lightweight,41,3,0.55179714,0.73726852,0.74218750,0.02,0.40809022,0.73096224,1232.555,0
candidate,lightweight,42,0,0.59177134,0.69675926,0.70703125,0.005,0.49409427,1.06127326,1238.850,0
spsa,lightweight,42,1,0.58711741,0.69791667,0.70703125,0.005,0.49094117,1.09010554,1247.462,0
spsa,lightweight,42,2,0.58697726,0.70023148,0.71093750,0.005,0.49056912,1.09364931,1256.037,0
spsa,lightweight,42,3,0.58219971,0.69791667,0.71484375,0.005,0.49121645,1.11427029,1264.297,0
candidate,lightweight,43,0,0.58555256,0.71643519,0.69921875,0.005,0.45487798,1.07306935,1271.083,0
spsa,lightweight,43,1,0.58756120,0.70601852,0.70312500,0.005,0.45912735,1.10374014,1280.254,0
spsa,lightweight,43,2,0.58765760,0.70486111,0.70312500,0.005,0.46116296,1.11220304,1288.114,0
spsa,lightweight,43,3,0.59061908,0.70949074,0.69531250,0.005,0.46348376,1.12755503,1296.099,0
candidate,lightweight,44,0,0.55763623,0.73842593,0.74218750,0.005,0.46074769,1.09551102,1302.023,0
spsa,lightweight,44,1,0.55627948,0.74074074,0.74609375,0.005,0.46327105,1.06853540,1310.103,0
spsa,lightweight,44,2,0.55519139,0.74189815,0.74609375,0.005,0.46269191,1.08733216,1318.339,0
spsa,lightweight,44,3,0.55489575,0.74305556,0.75000000,0.005,0.46310479,1.09385290,1327.310,0
candidate,lightweight,45,0,0.57781538,0.69560185,0.70312500,0.02,0.36264955,0.79527950,1332.769,0
spsa,lightweight,45,1,0.55468841,0.71412037,0.70703125,0.005,0.36295228,0.79480895,1340.481,0
spsa,lightweight,45,2,0.55452205,0.71296296,0.70703125,0.005,0.36336760,0.79823391,1348.196,0
spsa,lightweight,45,3,0.56055900,0.72106481,0.72656250,0.01,0.36895405,0.82097068,1355.971,0
